"The data on this page were constructed as part of the paper ""Building a composite Help-Wanted Index"" (Barnichon, 2010). Anyone is free to download the data and use it in his/her own research, as long as he/she cites the aforementioned paper.",,
Update (02/2017): ,,
"Because of divergence in the online HWI series and the JOLTS (see Cajner and Radner 2016, ""A Cautionary Note on the Help Wanted Online Data""), I now rely solely on the JOLTS V (number of non-farm ads) past 2001Q1. ",,
"The composite HWI index over 1951Q1-200Q4 was converted in units of job openings rate, ie #V/(size of the Labor Force).",,
,,
See the paper for details and construction methods for the composite HWI over 1951-2000.,,
,,
year,V_hwi,V/LF
2013.08,4004,2.58
2013.17,4076,2.63
2013.25,3988,2.57
2013.33,4145,2.66
2013.42,4150,2.66
2013.50,3885,2.50
2013.58,4085,2.63
2013.67,4128,2.65
2013.75,4222,2.73
2013.83,4119,2.65
2013.92,4121,2.66
2014.00,4127,2.66
2014.08,4373,2.81
2014.17,4388,2.81
2014.25,4566,2.94
2014.33,4747,3.05
2014.42,4982,3.20
2014.50,4846,3.11
2014.58,5349,3.43
2014.67,4914,3.15
2014.75,5012,3.20
2014.83,4843,3.09
2014.92,5130,3.28
2015.00,5344,3.40
2015.08,5466,3.49
2015.17,5210,3.33
2015.25,5598,3.56
2015.33,5563,3.53
2015.42,5248,3.34
2015.50,6056,3.86
2015.58,5467,3.48
2015.67,5488,3.50
2015.75,5773,3.67
2015.83,5708,3.62
2015.92,5845,3.70
2016.00,6012,3.80
2016.08,5770,3.64
2016.17,6129,3.85
2016.25,5803,3.65
2016.33,5777,3.64
2016.42,5742,3.61
2016.50,5962,3.75
2016.58,5677,3.56
2016.67,5868,3.67
2016.75,5591,3.50
2016.83,5971,3.74
2016.92,5964,3.74
2017.00,5646,3.54
2017.08,5931,3.71
2017.17,5813,3.63
2017.25,6103,3.80
2017.33,5810,3.63
2017.42,6334,3.95
2017.50,6203,3.87
2017.58,6300,3.92
2017.67,6279,3.90
2017.75,6380,3.98
2017.83,6282,3.91
2017.92,6359,3.96
2018.00,6601,4.10
2018.08,6586,4.07
2018.17,6833,4.22
2018.25,6910,4.27
2018.33,6987,4.32
2018.42,7271,4.48
2018.50,7209,4.44
2018.58,7204,4.45
2018.67,7352,4.54
2018.75,7295,4.49
2018.83,7574,4.65
2018.92,7436,4.56
2019.00,7478,4.59
2019.08,7058,4.33
2019.17,7332,4.50
2019.25,7257,4.46
2019.33,7279,4.47
2019.42,7165,4.39
